Fecha;Tipo de Cambio Minorista;Dólar Ahorro;Dólar MEP;Indice Merval;Badlar en $;Tasa de Interes deposito 30 días;Tasa de Interes prestamos por cuenta corriente;Crecimiento Económico;Riesgo crediticio;Desempleo;Indice de Volatilidad
04/07/2018;28,67;;;27635,2;33,375;29,61;;;;;
05/07/2018;28,78;;;27231,8;33,9375;30,68;;;;;
06/07/2018;28,75;;;26704,9;33,8125;32,25;;;;;
10/07/2018;28,62;;;26514,2;33,375;30,8;;;;;
11/07/2018;28,05;;;26263,7;33,5;30,58;;;;;
12/07/2018;28,19;;;26765,1;33,75;31,57;;;;;
13/07/2018;27,92;;;27044,5;34,8125;29,79;;;;;
16/07/2018;27,94;;;26814,4;34,375;31,37;;;;;
17/07/2018;28;;;27625,3;34,6875;31,72;;;;;
18/07/2018;28,16;;;27703,7;36,0625;32,22;;;;;
19/07/2018;28,32;;;28272,5;36,125;33,38;;;;;
20/07/2018;28,36;;;29363,5;35,5625;32,47;;;;;
23/07/2018;28,27;;;29204,9;34,5625;31,73;;;;;
24/07/2018;28,27;;;29259;35,125;28,26;;;;;
25/07/2018;28,14;;;29232,1;35,25;33,01;;;;;
26/07/2018;28,03;;;29287,3;35,1875;34,34;;;;;
27/07/2018;28,04;;;29387,8;34,3125;31,59;;;;;
30/07/2018;28,01;;;28882,9;35,1875;34,57;;;;;
31/07/2018;28,02;;;29216;35,1875;32,32;;;;;
01/08/2018;28,03;;;28894;35,125;32,66;;;;;
02/08/2018;28,23;;;27783,4;34,9375;29,38;;;;;
03/08/2018;28,17;;;26674,9;34,375;29,84;;;;;
06/08/2018;28,01;;;26906,3;34,5625;34,12;;;;;
07/08/2018;28,04;;;26856,2;34,8125;32,81;;;;;
08/08/2018;28,03;;;26062;34;32,3;;;;;
09/08/2018;28,23;;;26536,6;34,5625;31,39;;;;;
10/08/2018;28,7;;;27008,2;33,75;30,94;;;;;
13/08/2018;29,8;;;26938,8;34,75;31,1;;;;;
14/08/2018;30,68;;;26238,8;35,5;32,67;;;;;
15/08/2018;30,38;;;26045,9;36;32,59;;;;;
16/08/2018;30,68;;;26844,4;35,4375;32,88;;;;;
17/08/2018;30,39;;;26523,2;35,625;32,49;;;;;
21/08/2018;30,43;;;25168;35,4375;33,08;;;;;
22/08/2018;30,55;;;25435,4;34,25;32;;;;;
23/08/2018;30,82;;;25033;35,4375;29,61;;;;;
24/08/2018;30,98;;;25398,4;35,0625;32,9;;;;;
27/08/2018;31,47;;;26754,9;34,625;31,2;;;;;
28/08/2018;31,54;;;29293,5;34,875;32,4;;;;;
29/08/2018;32,06;;;28807,3;35,0625;29,25;;;;;
